1	 0.0000000000e+000	 8.24390e-008
2	 2.5000000000e-001	 5.30228e-008
3	 5.0000000000e-001	 8.46335e-009
4	 7.5000000000e-001	 5.93575e-009
5	 1.0000000000e+000	 2.92288e-009
6	 1.2500000000e+000	 1.46052e-009
7	 1.5000000000e+000	 1.37359e-009
8	 1.7500000000e+000	 3.97446e-009
9	 2.0000000000e+000	 4.01416e-009
10	 2.2500000000e+000	 1.75443e-009
11	 2.5000000000e+000	 1.76038e-009
12	 2.7500000000e+000	 3.77453e-009
13	 3.0000000000e+000	 3.07071e-009
14	 3.2500000000e+000	 2.25799e-009
15	 3.5000000000e+000	 1.26335e-009
16	 3.7500000000e+000	 4.67978e-010
17	 4.0000000000e+000	 1.87089e-009
18	 4.2500000000e+000	 3.52463e-009
19	 4.5000000000e+000	 3.43563e-009
20	 4.7500000000e+000	 1.60583e-004
21	 5.0000000000e+000	 6.42016e-004
22	 5.2500000000e+000	 1.60302e-004
23	 5.5000000000e+000	 3.05392e-009
24	 5.7500000000e+000	 2.63201e-009
25	 6.0000000000e+000	 5.61725e-009
26	 6.2500000000e+000	 3.94713e-009
27	 6.5000000000e+000	 1.71537e-009
28	 6.7500000000e+000	 2.05683e-009
29	 7.0000000000e+000	 1.56419e-009
30	 7.2500000000e+000	 1.30849e-009
31	 7.5000000000e+000	 1.46342e-009
32	 7.7500000000e+000	 3.07080e-009
33	 8.0000000000e+000	 4.12767e-009
34	 8.2500000000e+000	 3.45258e-009
35	 8.5000000000e+000	 2.77389e-009
36	 8.7500000000e+000	 2.88247e-009
37	 9.0000000000e+000	 4.92178e-009
38	 9.2500000000e+000	 8.56861e-009
39	 9.5000000000e+000	 6.40171e-009
40	 9.7500000000e+000	 1.55868e-008
41	 1.0000000000e+001	 6.82816e-008
42	 1.0250000000e+001	 2.71171e-008
43	 1.0500000000e+001	 2.98643e-009
44	 1.0750000000e+001	 1.97734e-009
45	 1.1000000000e+001	 1.18922e-009
46	 1.1250000000e+001	 1.09593e-009
47	 1.1500000000e+001	 1.06551e-009
48	 1.1750000000e+001	 1.71891e-009
49	 1.2000000000e+001	 3.23561e-009
50	 1.2250000000e+001	 1.52027e-009
51	 1.2500000000e+001	 1.77861e-009
52	 1.2750000000e+001	 4.31663e-009
53	 1.3000000000e+001	 3.66594e-009
54	 1.3250000000e+001	 2.68981e-009
55	 1.3500000000e+001	 1.68516e-009
56	 1.3750000000e+001	 2.95947e-009
57	 1.4000000000e+001	 6.70431e-009
58	 1.4250000000e+001	 6.26184e-009
59	 1.4500000000e+001	 3.79532e-009
60	 1.4750000000e+001	 1.33044e-006
61	 1.5000000000e+001	 5.17805e-006
62	 1.5250000000e+001	 1.26982e-006
63	 1.5500000000e+001	 6.21896e-009
64	 1.5750000000e+001	 7.94251e-009
65	 1.6000000000e+001	 8.88195e-009
66	 1.6250000000e+001	 1.15924e-008
67	 1.6500000000e+001	 1.11113e-008
68	 1.6750000000e+001	 3.52949e-009
69	 1.7000000000e+001	 4.67392e-009
70	 1.7250000000e+001	 1.65433e-008
71	 1.7500000000e+001	 2.08016e-008
72	 1.7750000000e+001	 1.46171e-008
73	 1.8000000000e+001	 2.59205e-008
74	 1.8250000000e+001	 4.32095e-008
75	 1.8500000000e+001	 3.01679e-008
76	 1.8750000000e+001	 1.46498e-008
77	 1.9000000000e+001	 1.82132e-008
78	 1.9250000000e+001	 9.89897e-009
79	 1.9500000000e+001	 4.46138e-009
80	 1.9750000000e+001	 2.21950e-008
81	 2.0000000000e+001	 1.04810e-007
82	 2.0250000000e+001	 4.35210e-008
83	 2.0500000000e+001	 5.79530e-009
84	 2.0750000000e+001	 3.16634e-009
85	 2.1000000000e+001	 6.60242e-009
86	 2.1250000000e+001	 1.51187e-008
87	 2.1500000000e+001	 1.37375e-008
88	 2.1750000000e+001	 2.09247e-008
89	 2.2000000000e+001	 3.37078e-008
90	 2.2250000000e+001	 1.86289e-008
91	 2.2500000000e+001	 4.72408e-009
92	 2.2750000000e+001	 8.22969e-009
93	 2.3000000000e+001	 1.33037e-008
94	 2.3250000000e+001	 1.68123e-008
95	 2.3500000000e+001	 1.83920e-008
96	 2.3750000000e+001	 1.90583e-008
97	 2.4000000000e+001	 2.58659e-008
98	 2.4250000000e+001	 3.16026e-008
99	 2.4500000000e+001	 2.96516e-008
100	 2.4750000000e+001	 4.83189e-007
101	 2.5000000000e+001	 1.79531e-006
102	 2.5250000000e+001	 4.50466e-007
103	 2.5500000000e+001	 1.22930e-008
104	 2.5750000000e+001	 2.06678e-008
105	 2.6000000000e+001	 3.83056e-008
106	 2.6250000000e+001	 1.63556e-008
107	 2.6500000000e+001	 2.16197e-008
108	 2.6750000000e+001	 7.75138e-008
109	 2.7000000000e+001	 9.43432e-008
110	 2.7250000000e+001	 6.27377e-008
111	 2.7500000000e+001	 2.63446e-008
112	 2.7750000000e+001	 3.47534e-008
113	 2.8000000000e+001	 8.74741e-008
114	 2.8250000000e+001	 8.71837e-008
115	 2.8500000000e+001	 3.47627e-008
116	 2.8750000000e+001	 7.56976e-008
117	 2.9000000000e+001	 2.67367e-007
118	 2.9250000000e+001	 3.35660e-007
119	 2.9500000000e+001	 2.52237e-007
120	 2.9750000000e+001	 2.08586e-007
121	 3.0000000000e+001	 6.81362e-007
122	 3.0250000000e+001	 6.62350e-007
123	 3.0500000000e+001	 3.47688e-007
124	 3.0750000000e+001	 1.22089e-007
125	 3.1000000000e+001	 2.79182e-007
126	 3.1250000000e+001	 6.94170e-007
127	 3.1500000000e+001	 1.00221e-006
